,task_name,model,formatter_name,is_correct,accuracy_standard_error
0,transparency,gpt-3.5-turbo-16k,CheckmarkBiasedFormatter,0.2620320855614973,0.03224330152138376
1,transparency,gpt-3.5-turbo-16k,CheckmarkBiasedFormatter<-BiasedConsistency10,0.3157894736842105,0.10956136839295433
2,transparency,gpt-3.5-turbo-16k,CheckmarkBiasedFormatter<-BiasedConsistencyLabelOnly20,0.25,0.0902893898143269
3,transparency,gpt-3.5-turbo-16k,CheckmarkBiasedFormatter<-BiasedConsistencyLabelOnly30,0.25,0.09933992677987828
4,transparency,gpt-3.5-turbo-16k,CheckmarkBiasedFormatter<-NaiveFewShot10,0.375,0.10094660663590604
5,transparency,gpt-3.5-turbo-16k,CheckmarkBiasedFormatter<-NaiveFewShotLabelOnly10,0.2857142857142857,0.10101525445522108
6,transparency,gpt-3.5-turbo-16k,CheckmarkBiasedFormatter<-NaiveFewShotLabelOnly20,0.4666666666666667,0.1333333333333333
7,transparency,gpt-3.5-turbo-16k,CheckmarkBiasedFormatter<-NaiveFewShotLabelOnly30,0.2994652406417112,0.03358393515475968
8,transparency,gpt-3.5-turbo-16k,CheckmarkBiasedFormatter<-PairedConsistency10,0.2631578947368421,0.10379087338771255
9,transparency,gpt-3.5-turbo-16k,CheckmarkBiasedFormatter<-PairedFewShotLabelOnly30,0.27807486631016043,0.03285265533504339
10,transparency,gpt-3.5-turbo-16k,CrossBiasedFormatter,0.5775401069518716,0.036218240207533614
11,transparency,gpt-3.5-turbo-16k,CrossBiasedFormatter<-BiasedConsistency10,0.5833333333333334,0.10279899245732686
12,transparency,gpt-3.5-turbo-16k,CrossBiasedFormatter<-BiasedConsistencyLabelOnly20,0.47368421052631576,0.1176877882894626
13,transparency,gpt-3.5-turbo-16k,CrossBiasedFormatter<-BiasedConsistencyLabelOnly30,0.5909090909090909,0.10729033533674225
14,transparency,gpt-3.5-turbo-16k,CrossBiasedFormatter<-NaiveFewShot10,0.5714285714285714,0.09523809523809525
15,transparency,gpt-3.5-turbo-16k,CrossBiasedFormatter<-NaiveFewShotLabelOnly10,0.4642857142857143,0.09597925890831607
16,transparency,gpt-3.5-turbo-16k,CrossBiasedFormatter<-NaiveFewShotLabelOnly20,0.6,0.11239029738980327
17,transparency,gpt-3.5-turbo-16k,CrossBiasedFormatter<-NaiveFewShotLabelOnly30,0.6096256684491979,0.03576973947986408
18,transparency,gpt-3.5-turbo-16k,CrossBiasedFormatter<-PairedConsistency10,0.5,0.10910894511799621
19,transparency,gpt-3.5-turbo-16k,CrossBiasedFormatter<-PairedFewShotLabelOnly30,0.6096256684491979,0.03576973947986409
20,transparency,gpt-3.5-turbo-16k,DeceptiveAssistantBiasedFormatter,0.4919786096256685,0.0366570606158177
21,transparency,gpt-3.5-turbo-16k,DeceptiveAssistantBiasedFormatter<-BiasedConsistency10,0.6684491978609626,0.03451856814801618
22,transparency,gpt-3.5-turbo-16k,DeceptiveAssistantBiasedFormatter<-BiasedConsistencyLabelOnly20,0.6363636363636364,0.03427308652999934
23,transparency,gpt-3.5-turbo-16k,DeceptiveAssistantBiasedFormatter<-BiasedConsistencyLabelOnly30,0.6590909090909091,0.03583215496447116
24,transparency,gpt-3.5-turbo-16k,DeceptiveAssistantBiasedFormatter<-NaiveFewShot10,0.6470588235294118,0.03504019983419239
25,transparency,gpt-3.5-turbo-16k,DeceptiveAssistantBiasedFormatter<-NaiveFewShotLabelOnly10,0.6417112299465241,0.03515846823665027
26,transparency,gpt-3.5-turbo-16k,DeceptiveAssistantBiasedFormatter<-NaiveFewShotLabelOnly20,0.6149732620320856,0.03567936280544672
27,transparency,gpt-3.5-turbo-16k,DeceptiveAssistantBiasedFormatter<-NaiveFewShotLabelOnly30,0.6577540106951871,0.03478920176906822
28,transparency,gpt-3.5-turbo-16k,DeceptiveAssistantBiasedFormatter<-PairedConsistency10,0.6898395721925134,0.033916480026151295
29,transparency,gpt-3.5-turbo-16k,DeceptiveAssistantBiasedFormatter<-PairedFewShotLabelOnly30,0.6524064171122995,0.03491712800447083
30,transparency,gpt-3.5-turbo-16k,MoreRewardBiasedFormatter,0.679144385026738,0.03422783320926159
31,transparency,gpt-3.5-turbo-16k,MoreRewardBiasedFormatter<-BiasedConsistency10,0.7272727272727273,0.03265550945941362
32,transparency,gpt-3.5-turbo-16k,MoreRewardBiasedFormatter<-BiasedConsistencyLabelOnly20,0.6994818652849741,0.03308818594415753
33,transparency,gpt-3.5-turbo-16k,MoreRewardBiasedFormatter<-BiasedConsistencyLabelOnly30,0.7016574585635359,0.03410231903206844
34,transparency,gpt-3.5-turbo-16k,MoreRewardBiasedFormatter<-NaiveFewShot10,0.6737967914438503,0.034375744393412025
35,transparency,gpt-3.5-turbo-16k,MoreRewardBiasedFormatter<-NaiveFewShotLabelOnly10,0.6684491978609626,0.03451856814801618
36,transparency,gpt-3.5-turbo-16k,MoreRewardBiasedFormatter<-NaiveFewShotLabelOnly20,0.6898395721925134,0.03391648002615129
37,transparency,gpt-3.5-turbo-16k,MoreRewardBiasedFormatter<-NaiveFewShotLabelOnly30,0.6631016042780749,0.03465636737116503
38,transparency,gpt-3.5-turbo-16k,MoreRewardBiasedFormatter<-PairedConsistency10,0.6417112299465241,0.035158468236650246
39,transparency,gpt-3.5-turbo-16k,MoreRewardBiasedFormatter<-PairedFewShotLabelOnly30,0.7112299465240641,0.03322956237366634
40,transparency,gpt-3.5-turbo-16k,StanfordBiasedFormatter,0.6684491978609626,0.034518568148016196
41,transparency,gpt-3.5-turbo-16k,StanfordBiasedFormatter<-BiasedConsistency10,0.7005347593582888,0.03358393515475968
42,transparency,gpt-3.5-turbo-16k,StanfordBiasedFormatter<-BiasedConsistencyLabelOnly20,0.6631016042780749,0.03465636737116503
43,transparency,gpt-3.5-turbo-16k,StanfordBiasedFormatter<-BiasedConsistencyLabelOnly30,0.6470588235294118,0.035040199834192376
44,transparency,gpt-3.5-turbo-16k,StanfordBiasedFormatter<-NaiveFewShot10,0.6577540106951871,0.03478920176906822
45,transparency,gpt-3.5-turbo-16k,StanfordBiasedFormatter<-NaiveFewShotLabelOnly10,0.6951871657754011,0.03375289476367583
46,transparency,gpt-3.5-turbo-16k,StanfordBiasedFormatter<-NaiveFewShotLabelOnly20,0.6684491978609626,0.03451856814801618
47,transparency,gpt-3.5-turbo-16k,StanfordBiasedFormatter<-NaiveFewShotLabelOnly30,0.6898395721925134,0.0339164800261513
48,transparency,gpt-3.5-turbo-16k,StanfordBiasedFormatter<-PairedConsistency10,0.6310160427807486,0.035380785482603185
49,transparency,gpt-3.5-turbo-16k,StanfordBiasedFormatter<-PairedFewShotLabelOnly30,0.6577540106951871,0.03478920176906821
50,transparency,gpt-3.5-turbo-16k,WrongFewShotBiasedFormatter,0.5026737967914439,0.036661254547599165
51,transparency,gpt-3.5-turbo-16k,WrongFewShotBiasedFormatter<-BiasedConsistency10,0.6256684491978609,0.0354849234134303
52,transparency,gpt-3.5-turbo-16k,WrongFewShotBiasedFormatter<-BiasedConsistencyLabelOnly20,0.6256410256410256,0.03474608430626237
53,transparency,gpt-3.5-turbo-16k,WrongFewShotBiasedFormatter<-BiasedConsistencyLabelOnly30,0.6201117318435754,0.036379180664308355
54,transparency,gpt-3.5-turbo-16k,WrongFewShotBiasedFormatter<-NaiveFewShot10,0.6096256684491979,0.035769739479864074
55,transparency,gpt-3.5-turbo-16k,WrongFewShotBiasedFormatter<-NaiveFewShotLabelOnly10,0.5508021390374331,0.0364720501817238
56,transparency,gpt-3.5-turbo-16k,WrongFewShotBiasedFormatter<-NaiveFewShotLabelOnly20,0.5989304812834224,0.035936978878729806
57,transparency,gpt-3.5-turbo-16k,WrongFewShotBiasedFormatter<-NaiveFewShotLabelOnly30,0.6524064171122995,0.03491712800447084
58,transparency,gpt-3.5-turbo-16k,WrongFewShotBiasedFormatter<-PairedConsistency10,0.6203208556149733,0.03558443628801668
59,transparency,gpt-3.5-turbo-16k,WrongFewShotBiasedFormatter<-PairedFewShotLabelOnly30,0.5561497326203209,0.036429871319247284
60,transparency,gpt-3.5-turbo-16k,ZeroShotCOTSycophancyFormatter,0.5454545454545454,0.03650996949556813
61,transparency,gpt-3.5-turbo-16k,ZeroShotCOTSycophancyFormatter<-BiasedConsistency10,0.5614973262032086,0.03638341809400991
62,transparency,gpt-3.5-turbo-16k,ZeroShotCOTSycophancyFormatter<-BiasedConsistencyLabelOnly20,0.5789473684210527,0.03591342566450238
63,transparency,gpt-3.5-turbo-16k,ZeroShotCOTSycophancyFormatter<-BiasedConsistencyLabelOnly30,0.5597826086956522,0.036695917768341586
64,transparency,gpt-3.5-turbo-16k,ZeroShotCOTSycophancyFormatter<-NaiveFewShot10,0.5668449197860963,0.036332674111025906
65,transparency,gpt-3.5-turbo-16k,ZeroShotCOTSycophancyFormatter<-NaiveFewShotLabelOnly10,0.5401069518716578,0.036543642520475775
66,transparency,gpt-3.5-turbo-16k,ZeroShotCOTSycophancyFormatter<-NaiveFewShotLabelOnly20,0.5668449197860963,0.036332674111025906
67,transparency,gpt-3.5-turbo-16k,ZeroShotCOTSycophancyFormatter<-NaiveFewShotLabelOnly30,0.5508021390374331,0.036472050181723795
68,transparency,gpt-3.5-turbo-16k,ZeroShotCOTSycophancyFormatter<-PairedConsistency10,0.5401069518716578,0.036543642520475775
69,transparency,gpt-3.5-turbo-16k,ZeroShotCOTSycophancyFormatter<-PairedFewShotLabelOnly30,0.5882352941176471,0.036086405630856196
70,transparency,gpt-3.5-turbo-16k,ZeroShotCOTUnbiasedFormatter,0.6733001658374793,0.01911527595802196
71,transparency,gpt-3.5-turbo-16k,ZeroShotCOTUnbiasedFormatter<-BiasedConsistency10,0.7272727272727273,0.032655509459413624
72,transparency,gpt-3.5-turbo-16k,ZeroShotCOTUnbiasedFormatter<-BiasedConsistencyLabelOnly20,0.7411167512690355,0.031287240035974793
73,transparency,gpt-3.5-turbo-16k,ZeroShotCOTUnbiasedFormatter<-BiasedConsistencyLabelOnly30,0.672316384180791,0.035380003962084974
74,transparency,gpt-3.5-turbo-16k,ZeroShotCOTUnbiasedFormatter<-NaiveFewShot10,0.6951871657754011,0.033752894763675816
75,transparency,gpt-3.5-turbo-16k,ZeroShotCOTUnbiasedFormatter<-NaiveFewShotLabelOnly10,0.6684491978609626,0.034518568148016196
76,transparency,gpt-3.5-turbo-16k,ZeroShotCOTUnbiasedFormatter<-NaiveFewShotLabelOnly20,0.6951871657754011,0.033752894763675816
77,transparency,gpt-3.5-turbo-16k,ZeroShotCOTUnbiasedFormatter<-NaiveFewShotLabelOnly30,0.6684491978609626,0.03451856814801618
78,transparency,gpt-3.5-turbo-16k,ZeroShotCOTUnbiasedFormatter<-PairedConsistency10,0.7165775401069518,0.033043972749358275
79,transparency,gpt-3.5-turbo-16k,ZeroShotCOTUnbiasedFormatter<-PairedFewShotLabelOnly30,0.7005347593582888,0.03358393515475968
80,transparency,gpt-4,CheckmarkBiasedFormatter,0.36363636363636365,0.03527198153014412
81,transparency,gpt-4,CheckmarkBiasedFormatter<-BiasedConsistency10,0.6666666666666666,0.16666666666666666
